iter	Passed	Remaining
418	2411	3343
419	2418	3339
420	2424	3334
421	2429	3328
422	2435	3322
423	2441	3317
424	2448	3312
425	2453	3306
426	2459	3300
427	2465	3294
428	2472	3290
429	2478	3285
430	2483	3278
431	2488	3272
432	2494	3266
433	2499	3259
434	2504	3252
435	2509	3246
436	2514	3239
437	2519	3232
438	2526	3228
439	2531	3221
440	2536	3215
441	2542	3209
442	2547	3202
443	2552	3195
444	2557	3189
445	2561	3182
446	2566	3174
447	2571	3168
448	2576	3161
449	2581	3154
450	2585	3147
451	2591	3141
452	2596	3134
453	2601	3128
454	2606	3122
455	2611	3115
456	2616	3108
457	2621	3101
458	2626	3095
459	2632	3090
460	2638	3084
461	2643	3078
462	2648	3071
463	2653	3064
464	2658	3058
465	2662	3051
466	2667	3044
467	2672	3037
468	2677	3031
469	2682	3024
470	2686	3017
471	2691	3011
472	2696	3004
473	2701	2997
474	2706	2991
475	2711	2984
476	2716	2978
477	2722	2972
478	2726	2966
479	2731	2959
480	2736	2953
481	2742	2947
482	2748	2941
483	2753	2935
484	2759	2929
485	2765	2924
486	2770	2918
487	2775	2912
488	2780	2905
489	2785	2898
490	2790	2892
491	2795	2886
492	2800	2880
493	2805	2873
494	2810	2867
495	2815	2860
496	2820	2854
497	2825	2848
498	2830	2841
499	2836	2836
500	2841	2829
501	2846	2823
502	2852	2818
503	2857	2811
504	2862	2805
505	2867	2799
506	2872	2793
507	2877	2786
508	2881	2780
509	2887	2774
510	2892	2767
511	2897	2761
512	2902	2755
513	2907	2748
514	2912	2742
515	2917	2736
516	2921	2729
517	2926	2723
518	2931	2716
519	2936	2710
520	2941	2704
521	2946	2698
522	2951	2691
523	2956	2685
524	2961	2679
525	2967	2674
526	2972	2667
527	2977	2661
528	2982	2655
529	2987	2649
530	2992	2643
531	2998	2638
532	3005	2633
533	3010	2627
534	3016	2621
535	3020	2614
536	3025	2608
537	3030	2602
538	3035	2596
539	3040	2589
540	3045	2583
541	3050	2577
542	3055	2571
543	3060	2565
544	3066	2560
545	3071	2553
546	3075	2547
547	3080	2541
548	3086	2535
549	3135	2565
550	3146	2563
551	3153	2558
552	3158	2552
553	3163	2546
554	3169	2540
555	3175	2535
556	3180	2529
557	3185	2523
558	3191	2517
559	3196	2511
560	3202	2505
561	3208	2500
562	3213	2494
563	3218	2487
564	3223	2482
565	3229	2476
566	3234	2470
567	3239	2464
568	3244	2457
569	3250	2451
570	3255	2445
571	3260	2439
572	3265	2433
573	3271	2428
574	3276	2422
575	3282	2416
576	3287	2410
577	3293	2404
578	3298	2398
579	3302	2391
580	3307	2385
581	3312	2379
582	3317	2372
